County,2026_count,2026_pct,2025_count,2025_pct,2024_count,2024_pct,2023_count,2023_pct,2022_count,2022_pct,2021_count,2021_pct,2020_count,2020_pct,2019_count,2019_pct,2018_count,2018_pct,2017_count,2017_pct
Osceola,4737,87.8,4866,86.3,4733,85.3,4661,86.9,4865,88.5,4354,89.2,4695,91.9,4612,93.1,4409,92.9,4280,90.9
Palm Beach,12891,88.3,13820,89.8,14141,90.1,13910,90.6,13562,89.5,13214,93.2,14135,92.1,14159,93.5,14008,93.1,14000,93.6
Pasco,5552,91,5728,91.9,5859,91.8,5901,93,5847,94.3,5245,94.8,5439,94,5234,94.6,5049,94.3,4951,95.6
Pinellas,5792,87.4,6147,87.3,6518,88.6,6606,89.3,7046,90.3,7056,92.2,7685,92.2,7633,91.8,7467,92.3,7995,94.7
Polk,8209,91.6,8641,92.5,8521,92.8,8639,93.2,8467,95.8,7801,96.3,8274,95.7,7868,95.9,7620,95.7,7805,96.4
Putnam,719,91.5,754,90.1,770,92.5,778,91.3,733,89.7,726,93.2,848,95.3,842,95.4,815,94.3,850,94.5
St. Johns,3074,88.2,3205,90.6,3217,90,3228,90.8,3231,92.1,1771,92.1,3054,92.7,2797,92.7,2813,93.2,2724,94.6
St. Lucie,3215,89.9,3133,88,3199,89.7,3072,91.3,3111,92,2637,89.8,2906,92.9,2904,94.4,2770,94.4,2719,93.9
Santa Rosa,1801,89.3,1990,91,1917,89.1,2009,91.9,2094,92.2,4844,92.9,2039,94.9,1967,94.4,1956,91.7,1898,95.3
Sarasota,2636,82.1,2747,79.9,2841,83.4,2811,84.8,2930,87.4,2966,94.4,2945,89.7,2779,89.9,2874,90,2946,91.5
Seminole,4334,90.1,4647,90,4327,90.1,4832,90.2,4907,92.3,2605,93.5,4903,91.9,5016,93,4787,91.3,5010,93.1
Sumter,731,90.8,704,90.6,612,91.9,740,92.2,650,94.2,617,96.3,669,95.4,660,96.1,626,94,611,95.5
Suwannee,387,91.1,418,89.3,440,93.6,440,92.8,471,91.6,439,94.8,488,93.5,468,95.7,471,95.3,506,97.3
Taylor,223,93.7,237,97.1,262,95.3,245,97.6,278,98.9,271,97.8,251,98,215,95.6,258,98.5,256,98.5
Union,154,95.7,173,93.5,187,95.4,174,96.1,207,95.4,205,96.2,228,95.4,212,96.4,194,97.5,184,96.8
Volusia,4063,87.5,4153,88.6,4292,87.8,4473,88.9,4628,92.1,4089,93.3,4830,94.1,4673,92.8,4521,93.2,4633,93.9
Wakulla,334,88.8,334,86.3,354,87.8,384,86.5,400,95,418,90.1,375,94,358,94.7,382,95.5,368,95.1
Walton,823,87.1,828,88.5,856,88.8,866,90.4,902,90.8,784,94.6,831,91.7,772,92.7,733,92.2,720,95
Washington,273,88.9,275,88.1,280,92.1,290,92.1,272,95.1,265,96.7,305,96.8,256,94.5,264,96.4,253,98.1
